product_uom_id,model_file,product_id,sku,product_name,uom,category_l1,category_l2,signal_group,use_lag_regressor,lag_mean,ma_blended,ma_yhat_json,backtest_mape,backtest_accuracy
018-029__PIEZA,model_018-029__PIEZA.json,018-029,018-029,CHILE CHIPOTLE DEL MONTE 2.9K (6),PIEZA,COMESTIBLES,CHILES CONSERVA,high_noise,True,281.0,True,"[262.6666666666667, 262.6666666666667]",0.026025881868749365,0.9739741181312507
040-001__PIEZA,model_040-001__PIEZA.json,040-001,040-001,PRODUCTO LACTEO NUTRI LECHE LALA  1L(12),PIEZA,COMESTIBLES,LECHE LIQUIDA,high_noise,True,1465.5,False,"[1297.75, 1297.75]",0.027663683289646725,0.9723363167103533
026-006__PIEZA,model_026-006__PIEZA.json,026-006,026-006,AZUCAR MORENA GRAN MYA 908G (10),PIEZA,COMESTIBLES,ENDULZANTES,high_noise,True,472.25,False,"[471.125, 471.125]",0.028070558211081398,0.9719294417889186
045-009__PIEZA,model_045-009__PIEZA.json,045-009,045-009,MERMELADA FRESA MC 450G (12),PIEZA,COMESTIBLES,MERMELADAS,seasonal_dominant,True,13.5,False,"[13.5, 13.5]",0.02908003497946462,0.9709199650205353
058-046__PIEZA,model_058-046__PIEZA.json,058-046,058-046,SAL DEPS REFINADA YODADA 25 KG,PIEZA,COMESTIBLES,SALES,sparse_or_intermittent,False,,False,"[4.0, 4.0]",0.03111235555555562,0.9688876444444444
003-014__PIEZA,model_003-014__PIEZA.json,003-014,003-014,ADEREZO ITALIANO CLEMENTE 237ML (12),PIEZA,COMESTIBLES,ADEREZOS,sparse_or_intermittent,False,,True,"[2.875, 2.875]",0.03194776560000001,0.9680522344
029-027__PIEZA,model_029-027__PIEZA.json,029-027,029-027,FRIJOLES ENTERO BAYOS SIERRA 560G (12),PIEZA,COMESTIBLES,FRIJOLES INSTANTANEOS,high_noise,True,15.5,False,"[15.5, 15.5]",0.03379319359185803,0.9662068064081419
021-010__PIEZA,model_021-010__PIEZA.json,021-010,021-010,CONCENTRADO GUAYABA FRUTIVA 1L (12),PIEZA,COMESTIBLES,CONCENTRADOS P/AGUA LIQ.,seasonal_dominant,True,17.0,False,"[17.0, 17.0]",0.03498711936156459,0.9650128806384354
032-008__PIEZA,model_032-008__PIEZA.json,032-008,032-008,DURAZNO MITAD COSTEÑA 820G (12),PIEZA,COMESTIBLES,FRUTAS ALMIBAR,high_noise,True,174.25,True,"[174.25, 174.25]",0.040242506162028784,0.9597574938379713
052-098__PIEZA,model_052-098__PIEZA.json,052-098,052-098,PASTA YEMINA ALFABETOS 200 GR (24),PIEZA,COMESTIBLES,PASTAS,sparse_or_intermittent,False,,True,"[8.5, 8.5]",0.04215757727272728,0.9578424227272727
040-017__PIEZA,model_040-017__PIEZA.json,040-017,040-017,LECHE DESLACTOSADA LIGHT LALA 1L (12),PIEZA,COMESTIBLES,LECHE LIQUIDA,high_noise,True,79.25,False,"[79.25, 79.25]",0.04608052039849562,0.9539194796015044
